title,built_date,bedrooms,district,unit_price,transaction_date,位置,经纬度
书院一号公寓,2009,l1,pudong,22479,2021.08.13,上海市浦东新区书院一号公寓(东门),"121.870078,30.978291"
书院一号公寓,2009,l1,pudong,21877,2021.06.09,上海市浦东新区书院一号公寓(东门),"121.870078,30.978291"
书院一号公寓,2009,l1,pudong,20737,2021.02.04,上海市浦东新区书院一号公寓(东门),"121.870078,30.978291"
书院一号公寓,2009,l1,pudong,19669,2020.09.19,上海市浦东新区书院一号公寓(东门),"121.870078,30.978291"
书院一号公寓,2009,l1,pudong,19156,2020.05.30,上海市浦东新区书院一号公寓(东门),"121.870078,30.978291"
书院一号公寓,2009,l1,pudong,18348,2020.03.19,上海市浦东新区书院一号公寓(东门),"121.870078,30.978291"
书院一号公寓,2009,l1,pudong,19423,2019.05.05,上海市浦东新区书院一号公寓(东门),"121.870078,30.978291"
书院一号公寓,2009,l1,pudong,18545,2019.03.31,上海市浦东新区书院一号公寓(东门),"121.870078,30.978291"
书院一号公寓,2009,l1,pudong,18686,2016.10.09,上海市浦东新区书院一号公寓(东门),"121.870078,30.978291"
书院一号公寓,2009,l1,pudong,19212,2016.09.14,上海市浦东新区书院一号公寓(东门),"121.870078,30.978291"
书院一号公寓,2009,l2,pudong,19345,2020.11.28,上海市浦东新区书院一号公寓(东门),"121.870078,30.978291"
东升家园(三期),2006,l1,pudong,25000,2021.06.05,上海市浦东新区东升家园,"121.604713,31.020880"
东升家园(三期),2006,l2,pudong,26603,2021.10.07,上海市浦东新区东升家园,"121.604713,31.020880"
东升家园(三期),2006,l2,pudong,28329,2021.10.02,上海市浦东新区东升家园,"121.604713,31.020880"
东升家园(三期),2006,l3,pudong,26622,2021.06.12,上海市浦东新区东升家园,"121.604713,31.020880"
东升家园(三期),2006,l3,pudong,26511,2021.05.23,上海市浦东新区东升家园,"121.604713,31.020880"
东升家园(三期),2006,l3,pudong,25153,2021.04.13,上海市浦东新区东升家园,"121.604713,31.020880"
东升家园(三期),2006,l3,pudong,26982,2021.04.05,上海市浦东新区东升家园,"121.604713,31.020880"
东升家园(三期),2006,l4,pudong,28330,2021.11.02,上海市浦东新区东升家园,"121.604713,31.020880"
绿地东岸涟城,2008,l1,pudong,25518,2020.09.16,上海市浦东新区绿地东岸涟城,"121.914993,30.885126"
绿地东岸涟城,2009,l2,pudong,34954,2021.07.18,上海市浦东新区绿地东岸涟城,"121.914993,30.885126"
绿地东岸涟城,2009,l4,pudong,17999,2016.10.20,上海市浦东新区绿地东岸涟城,"121.914993,30.885126"
绿地东岸涟城,2009,l3,pudong,23761,2020.06.10,上海市浦东新区绿地东岸涟城,"121.914993,30.885126"
绿地东岸涟城,2009,l5,pudong,25283,2021.10.31,上海市浦东新区绿地东岸涟城,"121.914993,30.885126"
绿地东岸涟城,2008,l5,pudong,29737,2021.09.05,上海市浦东新区绿地东岸涟城,"121.914993,30.885126"
云帆名苑,2007,l1,pudong,17066,2020.04.29,上海市浦东新区云帆名苑,"121.818558,30.899387"
云帆名苑,2007,l1,pudong,16764,2019.06.22,上海市浦东新区云帆名苑,"121.818558,30.899387"
云帆名苑,2007,l1,pudong,19663,2016.09.10,上海市浦东新区云帆名苑,"121.818558,30.899387"
云帆名苑,2007,l1,pudong,14857,2016.08.19,上海市浦东新区云帆名苑,"121.818558,30.899387"
云帆名苑,2007,l3,pudong,15529,2020.07.19,上海市浦东新区云帆名苑,"121.818558,30.899387"
云帆名苑,2007,l3,pudong,20777,2021.08.07,上海市浦东新区云帆名苑,"121.818558,30.899387"
丽都华庭,2014,l1,pudong,23174,2019.12.04,上海市浦东新区丽都华庭,"121.824844,30.898340"
