title,build_time,price,unit_price,transaction_date,district,bedrooms
书院一号公寓 1室1厅 71.18平米,高楼层(共13层) 2009年建板楼,133,18686,2016.10.09,pudong,l1
书院一号公寓 1室1厅 71.31平米,低楼层(共13层) 2009年建板楼,137,19212,2016.09.14,pudong,l1
云帆名苑 1室1厅 75.78平米,低楼层(共11层) 2007年建板楼,149,19663,2016.09.10,pudong,l1
云帆名苑 1室1厅 76.06平米,低楼层(共10层) 2007年建板楼,113,14857,2016.08.19,pudong,l1
金桥中环大厦 3房间1卫 78.36平米,高楼层(共27层) 2007年建板塔结合,129,16463,2016.08.09,pudong,l1
云帆花苑 2室1厅 82.3平米,低楼层(共12层) 2008年建板楼,178,21629,2021.11.23,pudong,l2
云帆雅苑 2室2厅 84.58平米,高楼层(共6层) 2007年建板楼,155,18326,2021.11.22,pudong,l2
丹桂佳苑 2室2厅 81.32平米,高楼层(共6层) 2008年建板楼,199,24472,2021.11.21,pudong,l2
海芦镜湖苑 2室1厅 82.54平米,高楼层(共6层) 2008年建板楼,155,18779,2021.11.18,pudong,l2
云锦丽苑 2室2厅 82.53平米,高楼层(共6层) 2006年建板楼,169,20429,2021.11.15,pudong,l2
蓝色城邦(公寓) 2室2厅 87.39平米,中楼层(共14层) 2010年建板楼,198,22658,2021.11.13,pudong,l2
凯德新视界(一期) 2室2厅 80.94平米,高楼层(共12层) 2015年建板楼,180,22239,2021.10.28,pudong,l2
云树仁居 2室2厅 81.74平米,中楼层(共6层) 2008年建板楼,172,21043,2021.10.26,pudong,l2
荷风景庭 2室2厅 81.63平米,高楼层(共6层) 2009年建板楼,174,21316,2021.10.17,pudong,l2
听潮六村 2室2厅 80.99平米,高楼层(共5层) 1994年建板楼,199,24571,2021.10.11,pudong,l2
云锦丽苑 2室2厅 82.77平米,高楼层(共6层) 2006年建板楼,166,20056,2021.10.10,pudong,l2
东升家园(三期) 2室1厅 74.43平米,低楼层(共15层) 2006年建板楼,198,26603,2021.10.07,pudong,l2
锦园坊 2室1厅 73.96平米,中楼层(共5层) 2007年建板楼,192,25960,2021.09.23,pudong,l2
荷风景庭 2室2厅 81.1平米,中楼层(共6层) 2009年建板楼,175,21579,2021.09.21,pudong,l2
